reach,depth_min,depth_q1,depth_q5,depth_q25,depth_q50,depth_avg,depth_q75,depth_q95,depth_q99,depth_max,wwdith_min,wwdith_q1,wwdith_q5,wwdith_q25,wwdith_q50,wwdith_avg,wwdith_q75,wwdith_q95,wwdith_q99,wwdith_max,flow_min,flow_q1,flow_q5,flow_q25,flow_q50,flow_avg,flow_q75,flow_q95,flow_q99,flow_max,rtime_min,rtime_q1,rtime_q5,rtime_q25,rtime_q50,rtime_avg,rtime_q75,rtime_q95,rtime_q99,rtime_max,velocity_min,velocity_q1,velocity_q5,velocity_q25,velocity_q50,velocity_avg,velocity_q75,velocity_q95,velocity_q99,velocity_max
1.000,0.063,0.075,0.087,0.134,0.175,0.210,0.228,0.493,0.754,1.288,2.063,2.075,2.087,2.134,2.175,2.210,2.228,2.493,2.754,3.288,1028.700,1387.619,1791.335,3652.136,5646.246,9071.554,8790.990,30974.053,61878.874,149455.000,0.002,0.003,0.004,0.005,0.006,0.007,0.008,0.010,0.011,0.012,0.094,0.106,0.117,0.153,0.180,0.192,0.212,0.325,0.401,0.510
10.000,0.059,0.070,0.082,0.127,0.166,0.201,0.218,0.480,0.742,1.275,2.059,2.070,2.082,2.127,2.166,2.201,2.218,2.480,2.742,3.275,1088.983,1464.167,1891.855,3855.576,5960.942,9580.817,9281.916,32717.626,65316.533,157596.203,0.002,0.003,0.003,0.005,0.006,0.006,0.007,0.009,0.010,0.011,0.106,0.119,0.131,0.171,0.201,0.213,0.235,0.354,0.432,0.545
100.000,0.040,0.049,0.057,0.087,0.112,0.131,0.145,0.293,0.421,0.657,0.580,0.597,0.614,0.674,0.724,0.762,0.790,1.086,1.342,1.813,86.763,121.161,156.623,319.643,493.654,793.884,768.879,2712.771,5415.365,13259.194,0.006,0.007,0.009,0.012,0.014,0.014,0.016,0.020,0.022,0.025,0.047,0.053,0.058,0.073,0.084,0.087,0.096,0.136,0.162,0.203
101.000,0.043,0.052,0.061,0.093,0.120,0.140,0.155,0.312,0.447,0.693,0.586,0.604,0.622,0.686,0.740,0.780,0.810,1.123,1.394,1.886,103.268,144.031,186.129,379.638,586.857,943.538,913.723,3223.466,6449.804,15721.137,0.005,0.007,0.008,0.011,0.013,0.013,0.015,0.018,0.020,0.022,0.052,0.058,0.063,0.080,0.092,0.096,0.105,0.148,0.177,0.221
102.000,0.047,0.057,0.067,0.102,0.131,0.152,0.168,0.335,0.477,0.733,0.594,0.615,0.633,0.703,0.762,0.803,0.837,1.170,1.454,1.966,108.032,150.583,194.826,397.171,614.111,987.226,956.394,3373.753,6749.611,16402.258,0.006,0.007,0.008,0.012,0.013,0.014,0.015,0.019,0.021,0.024,0.049,0.055,0.060,0.076,0.087,0.090,0.099,0.140,0.168,0.211
103.000,0.044,0.054,0.063,0.096,0.124,0.144,0.160,0.321,0.461,0.712,0.589,0.608,0.626,0.692,0.748,0.789,0.820,1.143,1.422,1.923,116.537,162.354,210.011,428.394,662.277,1064.310,1031.335,3638.884,7284.379,17644.285,0.005,0.006,0.007,0.010,0.012,0.012,0.013,0.017,0.018,0.021,0.056,0.063,0.069,0.087,0.099,0.104,0.113,0.160,0.191,0.238
104.000,0.050,0.061,0.071,0.108,0.138,0.161,0.178,0.354,0.506,0.777,0.600,0.621,0.641,0.715,0.777,0.821,0.857,1.209,1.511,2.054,116.895,162.463,209.964,428.410,662.140,1064.308,1031.017,3638.786,7296.468,17669.371,0.006,0.007,0.008,0.012,0.013,0.014,0.015,0.019,0.021,0.023,0.050,0.056,0.061,0.076,0.087,0.091,0.099,0.140,0.167,0.207
105.000,0.051,0.062,0.072,0.109,0.140,0.162,0.180,0.356,0.505,0.768,0.601,0.623,0.643,0.718,0.780,0.824,0.860,1.211,1.509,2.037,121.431,169.249,218.576,445.895,688.874,1107.806,1073.146,3795.165,7584.637,18416.678,0.005,0.007,0.008,0.011,0.013,0.013,0.015,0.019,0.020,0.023,0.051,0.057,0.062,0.078,0.089,0.093,0.102,0.145,0.174,0.220
106.000,0.045,0.054,0.063,0.097,0.125,0.146,0.161,0.325,0.465,0.721,0.589,0.609,0.627,0.694,0.750,0.791,0.823,1.149,1.430,1.942,121.524,169.004,218.613,445.709,688.770,1107.826,1072.915,3791.217,7576.945,18438.174,0.005,0.006,0.007,0.010,0.011,0.012,0.013,0.016,0.018,0.020,0.058,0.065,0.071,0.090,0.103,0.107,0.117,0.165,0.196,0.244
107.000,0.052,0.063,0.074,0.113,0.146,0.170,0.189,0.378,0.538,0.829,0.604,0.627,0.648,0.726,0.792,0.840,0.878,1.256,1.577,2.157,122.877,170.640,220.585,449.701,695.153,1117.702,1082.307,3822.251,7631.824,18619.600,0.006,0.007,0.009,0.012,0.014,0.014,0.015,0.019,0.021,0.023,0.050,0.056,0.060,0.075,0.086,0.089,0.097,0.134,0.159,0.197
