,depth_min,depth_q1,depth_q5,depth_q25,depth_q50,depth_q75,depth_q95,depth_q99,depth_max,wwdith_min,wwdith_q1,wwdith_q5,wwdith_q25,wwdith_q50,wwdith_q75,wwdith_q95,wwdith_q99,wwdith_max,velocity_min,velocity_q1,velocity_q5,velocity_q25,velocity_q50,velocity_q75,velocity_q95,velocity_q99,velocity_max,rtime_min,rtime_q1,rtime_q5,rtime_q25,rtime_q50,rtime_q75,rtime_q95,rtime_q99,rtime_max,region
count,168.0,168.0,168.0,168.0,168.0,168.0,168.0,168.0,168.0,168.0,168.0,168.0,168.0,168.0,168.0,168.0,168.0,168.0,168.0,168.0,168.0,168.0,168.0,168.0,168.0,168.0,168.0,168.0,168.0,168.0,168.0,168.0,168.0,168.0,168.0,168.0,Catchment
mean,0.04138690476190476,0.04969642857142853,0.05785119047619047,0.088077380952381,0.11352976190476183,0.1467619047619048,0.3001547619047619,0.4392380952380955,0.7036250000000002,0.8961428571428575,0.911273809523809,0.9259166666666664,0.9802619047619048,1.026154761904762,1.085738095238095,1.3585833333333328,1.6037202380952371,2.0660357142857144,0.05001190476190474,0.05613095238095238,0.061642857142857124,0.07954166666666669,0.09250595238095241,0.10730357142857139,0.1594642857142857,0.1947738095238095,0.24755952380952392,0.006375000000000001,0.008023809523809511,0.009684523809523799,0.014249999999999974,0.016470238095238073,0.01908928571428568,0.024541666666666632,0.026946428571428562,0.030291666666666626,Catchment
std,0.024981172693941497,0.029639098414648027,0.03421780183831417,0.05091262881388304,0.06472631701953256,0.0822488001547079,0.1609705216474865,0.23181652455127694,0.36893421005282967,0.5166081604520781,0.5173617632184372,0.5184752682553094,0.5241538403564567,0.5306136656107502,0.5407847617491296,0.6087437778129218,0.6887619625277608,0.8627848233548516,0.026530964418898604,0.02975338948613899,0.03285465829115515,0.043109504650570556,0.050721736712532293,0.0597288041655679,0.09310749005786786,0.11729959096471927,0.15530752581064636,0.0045513536842659765,0.005529401415289522,0.006629764025164828,0.009669849431296848,0.011211053995030893,0.013032355110503316,0.016882778018228347,0.018551517176870716,0.020852304735315262,Catchment
min,0.002,0.002,0.002,0.004,0.005,0.006,0.013000000000000001,0.02,0.035,0.503,0.504,0.505,0.507,0.51,0.512,0.527,0.54,0.569,0.01,0.011000000000000001,0.012,0.016,0.019,0.023,0.035,0.043,0.05,0.0,0.0,0.0,0.001,0.001,0.001,0.001,0.001,0.002,Catchment
1%,0.002,0.0026699999999999996,0.0026699999999999996,0.00467,0.00567,0.007339999999999999,0.01601,0.02435,0.0417,0.5036700000000001,0.50467,0.5056700000000001,0.50901,0.51134,0.51501,0.53236,0.54904,0.5833999999999999,0.01067,0.01267,0.013669999999999998,0.01767,0.02134,0.02434,0.037000000000000005,0.044000000000000004,0.05234,0.0006699999999999999,0.001,0.001,0.001,0.001,0.001,0.0016699999999999998,0.002,0.002,Catchment
5%,0.006999999999999999,0.008,0.01,0.015,0.019,0.025,0.05299999999999999,0.08035,0.13470000000000001,0.51335,0.5163500000000001,0.519,0.52935,0.5379999999999999,0.54935,0.6057,0.66005,0.7704,0.016,0.018000000000000002,0.02,0.025350000000000004,0.028699999999999996,0.032350000000000004,0.043699999999999996,0.05305,0.06635,0.002,0.003,0.003,0.005,0.006,0.006999999999999999,0.00835,0.009000000000000001,0.010350000000000002,Catchment
25%,0.022000000000000002,0.026750000000000003,0.031,0.04775,0.0625,0.08149999999999999,0.16975,0.251,0.41050000000000003,0.546,0.5557500000000001,0.56475,0.599,0.629,0.6679999999999999,0.84975,1.01425,1.32275,0.032,0.036000000000000004,0.03975,0.05075,0.058750000000000004,0.0685,0.09875,0.12075,0.15175,0.003,0.004,0.005,0.008,0.009000000000000001,0.011000000000000001,0.013999999999999999,0.01575,0.017750000000000002,Catchment
50%,0.037000000000000005,0.0445,0.051500000000000004,0.0795,0.10250000000000001,0.1335,0.28450000000000003,0.426,0.6875,0.5965,0.617,0.6355,0.7064999999999999,0.7655000000000001,0.841,1.1905000000000001,1.4825,1.967,0.0455,0.051,0.055999999999999994,0.07250000000000001,0.084,0.0965,0.14,0.16849999999999998,0.21150000000000002,0.005,0.006999999999999999,0.008,0.012,0.013999999999999999,0.016,0.02,0.022000000000000002,0.025,Catchment
75%,0.059000000000000004,0.071,0.083,0.127,0.163,0.2135,0.428,0.61875,1.05175,1.1045,1.1260000000000001,1.1462500000000002,1.22275,1.28725,1.372,1.77875,2.20125,2.9610000000000003,0.06325,0.071,0.078,0.10124999999999999,0.11825000000000001,0.13825,0.21125,0.258,0.31525000000000003,0.006999999999999999,0.009000000000000001,0.011000000000000001,0.017,0.02,0.023,0.028999999999999998,0.032,0.036000000000000004,Catchment
95%,0.087,0.10300000000000001,0.11965,0.177,0.22495,0.28590000000000004,0.5504500000000001,0.804,1.2945000000000002,2.062,2.075,2.0869999999999997,2.134,2.1746499999999997,2.22765,2.4923,2.75725,3.3295,0.1,0.11199999999999999,0.123,0.16065000000000002,0.18765,0.21930000000000002,0.33290000000000003,0.4093,0.53265,0.017,0.02065000000000001,0.02530000000000001,0.035650000000000015,0.04030000000000001,0.04630000000000001,0.05865000000000001,0.06430000000000001,0.07330000000000002,Catchment
