date	mean per day [C°]
01/01/2019	5.699999809
02/01/2019	5.690000057
03/01/2019	5.849999905
04/01/2019	5.730000019
05/01/2019	5.579999924
06/01/2019	5.860000134
07/01/2019	5.900000095
08/01/2019	6.230000019
09/01/2019	6.949999809
10/01/2019	8.56000042
11/01/2019	7.539999962
12/01/2019	6.820000172
13/01/2019	7.820000172
14/01/2019	7.400000095
15/01/2019	6.800000191
16/01/2019	7.210000038
17/01/2019	6.630000114
18/01/2019	6.099999905
19/01/2019	6.130000114
20/01/2019	6.119999886
21/01/2019	5.849999905
22/01/2019	5.119999886
23/01/2019	4.96999979
24/01/2019	4.78000021
25/01/2019	4.710000038
26/01/2019	5.800000191
27/01/2019	6.090000153
28/01/2019	6.21999979
29/01/2019	5.739999771
30/01/2019	5.599999905
31/01/2019	5.699999809
01/02/2019	5.789999962
02/02/2019	5.619999886
03/02/2019	5.550000191
04/02/2019	5.420000076
05/02/2019	5.050000191
06/02/2019	4.25
07/02/2019	3.970000029
08/02/2019	5.429999828
09/02/2019	6.130000114
10/02/2019	7.019999981
11/02/2019	7.400000095
12/02/2019	6.440000057
13/02/2019	6.039999962
14/02/2019	6.369999886
15/02/2019	6.659999847
16/02/2019	6.199999809
17/02/2019	6.039999962
18/02/2019	5.960000038
19/02/2019	5.960000038
20/02/2019	6.199999809
21/02/2019	6.809999943
22/02/2019	6.599999905
23/02/2019	6.289999962
24/02/2019	6.28000021
25/02/2019	6.570000172
26/02/2019	7.389999866
27/02/2019	8.039999962
28/02/2019	7.150000095
01/03/2019	7.440000057
02/03/2019	7.75
03/03/2019	6.539999962
04/03/2019	6.329999924
05/03/2019	6.920000076
06/03/2019	7.510000229
07/03/2019	7.480000019
08/03/2019	8.300000191
09/03/2019	9.210000038
10/03/2019	9.279999733
11/03/2019	8.899999619
12/03/2019	8.300000191
13/03/2019	8.340000153
14/03/2019	7.510000229
15/03/2019	7.380000114
16/03/2019	8.020000458
17/03/2019	8.68999958
18/03/2019	10.27999973
19/03/2019	9.949999809
20/03/2019	8.470000267
21/03/2019	8.159999847
22/03/2019	8.340000153
23/03/2019	8.109999657
24/03/2019	9.159999847
25/03/2019	9.550000191
26/03/2019	9.090000153
27/03/2019	8.739999771
28/03/2019	8.25
29/03/2019	9.390000343
30/03/2019	9.100000381
31/03/2019	9.180000305
01/04/2019	8.479999542
02/04/2019	8.659999847
03/04/2019	9.18999958
04/04/2019	9.81000042
05/04/2019	9.399999619
06/04/2019	9.550000191
07/04/2019	9.300000191
08/04/2019	10.11999989
09/04/2019	11
10/04/2019	12.31999969
11/04/2019	12.51000023
12/04/2019	11.43999958
13/04/2019	12
14/04/2019	12.51000023
15/04/2019	13.90999985
16/04/2019	14.35999966
17/04/2019	13.10999966
18/04/2019	12
19/04/2019	12.26000023
20/04/2019	13
21/04/2019	13.75
22/04/2019	13.64999962
23/04/2019	13.22000027
24/04/2019	13.56999969
25/04/2019	14.43999958
26/04/2019	14.19999981
27/04/2019	13.82999992
28/04/2019	12.25
29/04/2019	11.60000038
30/04/2019	12.31000042
01/05/2019	12.55000019
02/05/2019	13.02999973
03/05/2019	13.57999992
04/05/2019	14.40999985
05/05/2019	15.84000015
06/05/2019	15.27000046
07/05/2019	14.14999962
08/05/2019	14.32999992
09/05/2019	15.30000019
10/05/2019	15.57999992
11/05/2019	16.5
12/05/2019	17.19000053
13/05/2019	16.02000046
14/05/2019	16.05999947
15/05/2019	16.31999969
16/05/2019	14.78999996
17/05/2019	14.06999969
18/05/2019	14.31000042
19/05/2019	14.28999996
20/05/2019	13.93999958
21/05/2019	13.94999981
22/05/2019	14.96000004
23/05/2019	15.85999966
24/05/2019	15.67000008
25/05/2019	15.85000038
26/05/2019	14.85000038
27/05/2019	14.77999973
28/05/2019	15.06999969
29/05/2019	14.85000038
30/05/2019	14.38000011
31/05/2019	13.97999954
01/06/2019	14.84000015
02/06/2019	15.22999954
03/06/2019	15.71000004
04/06/2019	16.57999992
05/06/2019	18.45000076
06/06/2019	20.19000053
07/06/2019	19.32999992
08/06/2019	17.95000076
09/06/2019	16.47999954
10/06/2019	16.5
11/06/2019	17.79999924
12/06/2019	19.20000076
13/06/2019	20.12999916
14/06/2019	19.52000046
15/06/2019	19.10000038
16/06/2019	17.90999985
17/06/2019	16.96999931
18/06/2019	18.10000038
19/06/2019	17.23999977
20/06/2019	16.20999908
21/06/2019	16.18000031
22/06/2019	16.28000069
23/06/2019	15.44999981
24/06/2019	15.5
25/06/2019	17.17000008
26/06/2019	18.89999962
27/06/2019	19.77000046
28/06/2019	19.54999924
29/06/2019	19.78000069
30/06/2019	20.60000038
01/07/2019	21.73999977
02/07/2019	23.26000023
03/07/2019	24.20000076
04/07/2019	24.86000061
05/07/2019	24.53000069
06/07/2019	22.92000008
07/07/2019	22.35000038
08/07/2019	20.54999924
09/07/2019	18.97999954
10/07/2019	18.77000046
11/07/2019	19.89999962
12/07/2019	20.07999992
13/07/2019	18.89999962
14/07/2019	18.59000015
15/07/2019	18.97999954
16/07/2019	20.25
17/07/2019	22.13999939
18/07/2019	22.78000069
19/07/2019	21.64999962
20/07/2019	20.14999962
21/07/2019	20.57999992
22/07/2019	21.56999969
23/07/2019	21.46999931
24/07/2019	21.06999969
25/07/2019	20.70000076
26/07/2019	19.70000076
27/07/2019	20.60000038
28/07/2019	21.20000076
29/07/2019	21.29999924
30/07/2019	21.20000076
31/07/2019	20.89999962
01/08/2019	21.60000038
02/08/2019	22
03/08/2019	21.70000076
04/08/2019	21.70000076
05/08/2019	21.70000076
06/08/2019	21.10000038
07/08/2019	20.5
08/08/2019	20.60000038
09/08/2019	20.39999962
10/08/2019	20.60000038
11/08/2019	19.89999962
12/08/2019	19
13/08/2019	18.60000038
14/08/2019	18.20000076
15/08/2019	17.89999962
16/08/2019	17.5
17/08/2019	17.20000076
18/08/2019	16.60000038
19/08/2019	17.68000031
20/08/2019	18.5
21/08/2019	19.54000092
22/08/2019	20.21999931
23/08/2019	20.12000084
24/08/2019	19.95000076
25/08/2019	19.12000084
26/08/2019	19
27/08/2019	19.51000023
28/08/2019	18.44000053
29/08/2019	18.44000053
30/08/2019	19.73999977
31/08/2019	21.34000015
01/09/2019	21
02/09/2019	18.62999916
03/09/2019	17.75
04/09/2019	17.10000038
05/09/2019	16.53000069
06/09/2019	15.64999962
07/09/2019	15.64999962
08/09/2019	15.85999966
09/09/2019	15.93999958
10/09/2019	16.02000046
11/09/2019	16.13999939
12/09/2019	16.29999924
13/09/2019	16.57999992
14/09/2019	17.03000069
15/09/2019	16.37000084
16/09/2019	15.64000034
17/09/2019	15.53999996
18/09/2019	15.86999989
19/09/2019	16.03000069
20/09/2019	15.56999969
21/09/2019	15.34000015
22/09/2019	15.30000019
23/09/2019	15.06000042
24/09/2019	14.82999992
25/09/2019	14.82999992
26/09/2019	14.56999969
27/09/2019	14.27999973
28/09/2019	14.03999996
29/09/2019	13.71000004
30/09/2019	13.44999981
01/10/2019	13.25
02/10/2019	12.81999969
03/10/2019	12.72000027
04/10/2019	12.97000027
05/10/2019	13.39000034
06/10/2019	14.35999966
07/10/2019	14.94999981
08/10/2019	15.02000046
09/10/2019	14.60999966
10/10/2019	14.02000046
11/10/2019	12.34000015
12/10/2019	10.82999992
13/10/2019	9.68999958
14/10/2019	8.880000114
15/10/2019	8.479999542
16/10/2019	9.210000038
17/10/2019	10.11999989
18/10/2019	10.52999973
19/10/2019	10.96000004
20/10/2019	11.15999985
21/10/2019	10.96000004
22/10/2019	11.44999981
23/10/2019	11.93999958
24/10/2019	12.30000019
25/10/2019	12.30000019
26/10/2019	12.10000038
27/10/2019	11.80000019
28/10/2019	11.39999962
29/10/2019	11.68000031
30/10/2019	11.39999962
31/10/2019	11.02000046
01/11/2019	10.5
02/11/2019	10.02999973
03/11/2019	9.590000153
04/11/2019	9.899999619
05/11/2019	11
06/11/2019	12.35000038
07/11/2019	13.77999973
08/11/2019	13.89000034
09/11/2019	13.56000042
10/11/2019	13.02000046
11/11/2019	12.82999992
12/11/2019	12.46000004
13/11/2019	12.42000008
14/11/2019	10.89000034
