YEAR,MONTH,DAY,TEMPERATURE_AVG,RADIATION
2009,01,01,-0.8,1220
2009,01,02,0.2,2240
2009,01,03,-2.9,2405
2009,01,04,-1.1,1769
2009,01,05,0.8,1724
2009,01,06,-4,3821
2009,01,07,-2.8,3185
2009,01,08,-1.5,1695
2009,01,09,-5.5,4006
2009,01,10,-5.6,4471
2009,01,11,-1.1,4446
2009,01,12,2.8,2416
2009,01,13,4.9,1155
2009,01,14,3.3,1988
2009,01,15,3.1,2711
2009,01,16,2.4,2372
2009,01,17,6.2,3282
2009,01,18,6.8,2310
2009,01,19,6.6,2841
2009,01,20,3.9,3800
2009,01,21,2.5,2264
2009,01,22,5.1,2631
2009,01,23,7.4,2523
2009,01,24,2.2,3962
2009,01,25,0.5,3781
2009,01,26,4.9,3182
2009,01,27,1.8,3803
2009,01,28,-2,2739
2009,01,29,0,5110
2009,01,30,-0.9,6480
2009,01,31,0.7,5620
2009,02,01,-0.7,4377
2009,02,02,0.4,2233
2009,02,03,1,4008
2009,02,04,-1.8,5050
2009,02,05,4,3814
2009,02,06,5.7,5545
2009,02,07,3.4,2181
2009,02,08,3,3864
2009,02,09,3.4,2751
2009,02,10,4.6,3337
2009,02,11,3.1,4606
2009,02,12,0.9,5052
2009,02,13,2.2,3523
2009,02,14,1.8,7093
2009,02,15,1.9,4862
2009,02,16,6.2,4111
2009,02,17,5.2,3254
2009,02,18,2.7,3643
2009,02,19,1.8,5162
2009,02,20,5.9,3979
2009,02,21,6.3,5554
2009,02,22,6.9,3518
2009,02,23,6.2,3065
2009,02,24,4.5,6087
2009,02,25,4,5730
2009,02,26,7.9,4673
2009,02,27,8.1,3756
2009,02,28,7,7224
2009,03,01,7.2,6216
2009,03,02,6.4,8982
2009,03,03,6.5,4788
2009,03,04,5,3882
2009,03,05,3.2,9667
2009,03,06,5.3,9265
2009,03,07,5.3,7338
2009,03,08,8.1,8378
2009,03,09,5.6,10203
2009,03,10,8,5532
2009,03,11,6.7,10682
2009,03,12,8.9,5874
2009,03,13,8.8,7240
2009,03,14,9.2,6479
